Timestamp,timer.externalize_c,timer.externalize_libel,timer.finalize_c,timer.finalize_libel,timer.processnoise_c,timer.processnoise_libel,timer.stateinbounds_c,timer.stateinbounds_libel
67209,7,9,10,244,11,32,1,4
67229,6,9,185,244,11,32,1,4
67249,5,9,186,244,10,32,1,4
67269,5,9,199,244,11,32,1,4
67289,6,9,199,244,12,32,1,4
67309,6,9,10,244,11,32,1,4
67329,5,9,214,244,10,32,1,4
67349,6,9,185,244,10,32,1,4
67369,25,9,186,244,10,32,1,4
67389,6,9,186,244,10,32,1,4
67409,6,9,178,244,10,32,1,4
67429,6,9,186,244,10,32,1,4
67449,5,9,10,31,10,31,1,6
67469,8,9,228,213,10,31,1,4
67489,6,9,147,215,10,32,31,4
67509,8,9,10,215,10,32,1,4
67529,6,9,172,215,10,32,1,4
67549,6,9,146,215,11,32,1,4
67569,5,9,186,215,10,32,2,4
67589,7,9,11,215,11,32,1,4
67609,5,9,10,215,10,32,1,4
67629,6,9,190,215,10,32,1,4
67649,5,9,186,215,10,32,1,4
67669,9,9,190,215,10,32,2,4
67689,6,9,197,215,10,32,1,4
67709,6,9,193,215,10,32,2,4
67729,6,9,210,215,10,32,1,4
67749,6,9,10,215,11,32,1,4
67769,6,9,210,215,10,32,2,4
67789,6,9,210,215,10,32,1,4
67809,6,9,209,215,10,32,1,4
67829,5,9,204,215,11,32,2,4
67849,6,9,192,215,10,32,1,4
67869,6,9,204,215,10,32,2,4
67889,6,9,10,215,10,32,1,4
67909,5,9,197,215,10,32,1,4
67929,6,9,212,215,10,32,1,4
67949,6,9,146,304,10,31,1,4
67969,6,9,146,215,35,40,1,4
67989,6,9,197,275,10,32,1,4
68009,6,9,207,275,10,32,2,4
68029,6,9,181,275,10,32,1,4
68049,6,9,192,275,10,32,1,4
68069,6,9,196,275,10,32,1,4
68089,6,9,206,275,10,32,1,4
68109,6,9,197,275,10,32,1,4
68129,6,9,200,275,10,32,1,4
68149,5,9,214,275,10,32,1,4
68169,6,9,173,275,10,32,2,4
68189,5,9,179,275,10,32,1,4
68209,6,9,10,275,10,32,1,4
68229,6,9,10,275,11,32,1,4
68249,6,9,172,275,10,32,1,4
68269,6,9,186,275,10,32,1,4
68289,6,9,179,275,10,32,1,4
68309,6,9,154,275,10,32,1,4
68329,5,9,174,275,11,32,1,4
68349,6,9,10,275,10,32,1,4
68369,6,9,196,275,10,32,1,4
68389,6,9,194,275,11,32,1,4
68409,6,9,411,275,10,32,1,4
68429,5,9,243,275,10,32,1,4
68449,6,9,221,294,10,32,1,4
68469,6,8,186,214,10,31,1,4
68489,6,9,185,215,10,32,1,4
68509,6,8,424,215,11,32,1,4
68529,5,8,160,215,10,32,1,4
68549,6,8,159,215,10,32,2,4
68569,6,8,194,215,10,32,1,4
68589,6,8,180,215,10,32,1,4
68609,6,8,16,215,10,32,1,4
68629,6,8,221,215,10,32,1,4
68649,7,8,186,215,10,32,2,4
68669,6,8,11,215,10,32,2,4
68689,5,8,220,215,10,32,1,4
68709,5,8,180,215,10,32,2,4
68729,5,8,175,215,10,32,1,4
68749,5,8,180,215,10,32,2,4
68769,5,8,174,215,10,32,1,4
68789,6,8,10,215,10,32,1,4
68809,6,8,10,215,10,32,1,4
68829,5,8,173,215,10,32,1,4
68849,6,8,181,215,11,32,2,4
68869,5,8,188,215,10,32,1,4
68889,6,8,181,215,10,32,1,4
68909,5,8,187,215,10,32,1,4
68929,6,8,188,215,10,32,1,4
68949,6,9,146,246,10,32,2,4
68969,5,9,210,222,10,32,1,4
68989,5,9,147,241,10,34,1,4
69009,6,9,194,359,10,68,6,36
69029,6,9,181,359,11,68,1,36
69049,6,9,225,359,11,68,1,36
69069,5,9,154,359,10,68,1,36
69089,6,9,201,359,10,68,1,36
69109,6,9,209,359,10,68,1,36
69129,5,9,193,359,10,68,1,36
69149,5,9,193,359,10,68,1,36
69169,5,9,245,359,10,68,1,36
69189,5,9,213,359,10,68,1,36
69209,6,9,255,359,10,68,1,36
69229,6,9,212,359,10,68,1,36
69249,5,9,250,359,10,68,1,36
69269,5,9,10,359,10,68,1,36
69289,6,9,219,359,10,68,1,36
69309,5,9,178,359,10,68,1,36
69329,5,9,146,359,10,68,1,36
69349,6,9,181,359,10,68,1,36
69369,7,9,10,359,17,68,1,36
69389,5,9,213,359,11,68,1,36
69409,7,9,225,359,11,68,2,36
69429,6,9,153,359,12,68,1,36
69449,6,10,178,359,10,34,1,36
69469,6,9,180,420,10,31,1,4
69489,6,8,182,387,10,32,1,4
69509,6,9,153,380,10,32,1,4
69529,6,9,146,380,11,32,1,4
69549,6,9,146,380,10,32,1,4
69569,6,9,146,380,10,32,1,4
69589,6,9,153,380,10,32,1,4
69609,6,9,10,380,10,32,1,4
69629,6,9,153,380,10,32,1,4
69649,7,9,159,380,10,32,1,4
69669,6,9,180,380,10,32,1,4
69689,5,9,180,380,10,32,1,4
69709,6,9,181,380,10,32,1,4
69729,6,9,181,380,10,32,1,4
69749,6,9,10,380,10,32,2,4
69769,6,9,11,380,10,32,1,4
69789,6,9,10,380,10,32,1,4
69809,6,9,42,380,10,32,1,4
69829,6,9,10,380,10,32,1,4
69849,6,9,10,380,10,32,2,4
69869,6,9,10,380,10,32,1,4
69889,5,9,10,380,10,32,1,4
69909,6,9,10,380,10,32,1,4
69929,6,9,10,380,10,32,1,4
69949,5,9,10,380,10,32,1,4
69969,9,9,14,44,10,32,2,4
69989,6,45,40,38,10,32,1,4
70009,6,9,10,30,10,31,1,3
70029,6,9,10,30,10,31,2,3
70049,6,9,10,30,10,31,1,3
70069,5,9,10,30,10,31,1,3
70089,6,9,10,30,10,31,1,3
70109,6,9,10,30,11,31,1,3
70129,6,9,10,30,10,31,1,3
70149,5,9,10,30,10,31,1,3
70169,7,9,10,30,10,31,1,3
70189,6,9,10,30,10,31,1,3
70209,5,9,10,30,10,31,1,3
70229,6,9,10,30,11,31,1,3
70249,5,9,10,30,10,31,1,3
70269,6,9,10,30,10,31,1,3
70289,6,9,10,30,10,31,1,3
70309,6,9,10,30,10,31,1,3
70329,5,9,10,30,10,31,1,3
70349,5,9,10,30,10,31,1,3
70369,6,9,10,30,10,31,1,3
70389,6,9,10,30,10,31,1,3
70409,5,9,9,30,10,31,1,3
70429,6,9,10,30,10,31,1,3
70449,6,9,10,30,10,31,1,3
70469,6,8,10,55,10,31,1,4
70489,6,8,10,31,11,33,1,6
70509,6,9,15,32,11,31,1,3
70529,7,9,9,32,11,31,1,3
70549,5,9,10,32,50,31,1,3
70569,6,9,9,32,10,31,1,3
70589,5,9,10,32,10,31,1,3
70609,6,9,10,32,10,31,1,3
70629,6,9,10,32,11,31,1,3
70649,6,9,10,32,10,31,1,3
70669,6,9,174,32,11,31,2,3
70689,5,9,153,32,10,31,1,3
70709,6,9,174,32,10,31,1,3
70729,5,9,10,32,10,31,1,3
70749,5,9,153,32,10,31,1,3
70769,6,9,10,32,10,31,1,3
70789,6,9,154,32,10,31,1,3
70809,6,9,174,32,11,31,2,3
70829,6,9,153,32,10,31,1,3
70849,6,9,229,32,10,31,1,3
70869,6,9,172,32,10,31,1,3
70889,6,9,11,32,10,31,1,3
70909,6,9,10,32,10,31,1,3
70929,5,9,218,32,10,31,1,3
70949,5,9,173,32,10,31,1,3
70969,6,9,149,212,12,31,2,4
70989,6,9,172,227,10,200,2,28
71009,7,10,167,224,10,32,1,4
71029,6,10,160,224,10,32,1,4
71049,6,10,163,224,10,32,1,4
71069,5,10,187,224,10,32,1,4
71089,6,10,197,224,10,32,1,4
71109,6,10,10,224,10,32,1,4
71129,6,10,210,224,10,32,1,4
71149,6,10,210,224,10,32,1,4
71169,6,10,210,224,10,32,1,4
71189,6,10,205,224,10,32,1,4
71209,6,10,182,224,10,32,3,4
71229,7,10,228,224,11,32,1,4
71249,6,10,213,224,10,32,1,4
71269,5,10,10,224,10,32,2,4
71289,5,10,222,224,10,32,1,4
71309,7,10,176,224,11,32,1,4
71329,5,10,184,224,10,32,1,4
71349,6,10,183,224,10,32,1,4
71369,6,10,260,224,10,32,1,4
71389,5,10,207,224,10,32,1,4
71409,6,10,208,224,10,32,2,4
71429,5,10,207,224,10,32,1,4
71449,6,10,220,224,10,32,1,4
71469,5,9,178,236,10,32,1,4
71489,6,9,176,436,10,32,1,5
71509,6,9,174,393,11,68,1,9
71529,6,9,178,36,10,31,1,47
71549,6,9,9,36,10,31,1,47
71569,6,9,10,36,10,31,1,47
71589,6,9,10,36,10,31,1,47
71609,6,9,10,36,11,31,1,47
71629,6,9,10,36,10,31,1,47
71649,6,9,11,36,11,31,1,47
71669,6,9,10,36,10,31,1,47
71689,5,9,217,36,10,31,1,47
71709,6,9,186,36,10,31,1,47
71729,6,9,178,36,10,31,1,47
71749,5,9,186,36,11,31,1,47
71769,6,9,186,36,10,31,1,47
71789,6,9,227,36,10,31,1,47
71809,6,9,186,36,10,31,2,47
71829,6,9,186,36,10,31,1,47
71849,5,9,185,36,10,31,1,47
71869,6,9,224,36,10,31,1,47
71889,6,9,226,36,11,31,1,47
71909,5,9,185,36,10,31,1,47
71929,6,9,185,36,10,31,1,47
71949,6,9,186,36,10,31,1,47
71969,6,9,246,180,28,34,1,3
71989,36,9,288,185,10,39,2,4
72009,5,9,209,259,10,32,1,7
72029,6,9,185,49,11,31,1,4
72049,6,9,198,49,10,31,1,4
72069,6,9,177,49,11,31,1,4
72089,6,9,192,49,11,31,1,4
72109,6,9,10,49,10,31,1,4
72129,6,9,210,49,10,31,1,4
72149,5,9,10,49,10,31,1,4
72169,5,9,203,49,10,31,1,4
72189,5,9,200,49,47,31,1,4
72209,6,9,203,49,10,31,2,4
72229,6,9,198,49,10,31,1,4
72249,5,9,198,49,10,31,2,4
72269,5,9,196,49,10,31,1,4
72289,6,9,178,49,10,31,2,4
72309,5,9,178,49,10,31,1,4
72329,5,9,178,49,10,31,1,4
72349,6,9,11,49,10,31,2,4
72369,6,9,10,49,11,31,1,4
72389,6,9,210,49,10,31,1,4
72409,7,9,12,49,12,31,2,4
72429,6,9,191,49,10,31,1,4
72449,6,9,154,49,10,31,1,4
72469,6,9,178,247,10,32,1,4
72489,6,9,178,243,10,68,1,4
72509,6,9,215,241,10,32,2,4
72529,5,9,193,335,10,69,1,4
72549,6,9,156,335,10,69,1,4
72569,6,9,221,335,10,69,1,4
72589,6,9,185,335,10,69,1,4
72609,5,9,148,335,10,69,1,4
72629,6,9,173,335,10,69,1,4
72649,6,9,10,335,15,69,1,4
72669,6,9,153,335,11,69,2,4
72689,6,9,153,335,10,69,1,4
72709,6,9,160,335,10,69,1,4
72729,6,9,208,335,11,69,1,4
72749,5,9,10,335,11,69,1,4
72769,6,9,209,335,10,69,1,4
72789,6,9,158,335,12,69,2,4
72809,6,9,207,335,10,69,1,4
72829,5,9,178,335,10,69,1,4
72849,6,9,195,335,10,69,1,4
72869,6,9,220,335,11,69,1,4
72889,6,9,153,335,10,69,1,4
